交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
1998/10/1,TX,199810,6738,6745,6620,6620,-167,-2.46%,2073,6620,3384,-,-,7770,6150,,一般,
1998/10/1,TX,199811,6703,6710,6605,6605,-128,-1.90%,77,6605,134,-,-,7020,6605,,一般,
1998/10/1,TX,199812,6660,6719,6601,6601,-134,-1.99%,41,6601,185,-,-,8025,6200,,一般,
1998/10/1,TX,199903,6690,6690,6690,6690,-69,-1.02%,2,6592,189,-,-,8242,6300,,一般,
1998/10/1,TX,199906,-,-,-,-,-,-,0,6592,26,-,-,6993,6262,,一般,
1998/10/2,TX,199810,6530,6530,6311,6398,-222,-3.35%,2532,6398,2943,-,-,7770,6150,,一般,
1998/10/2,TX,199811,6465,6465,6290,6359,-246,-3.72%,120,6359,160,-,-,7020,6290,,一般,
1998/10/2,TX,199812,6500,6500,6205,6320,-281,-4.26%,67,6320,185,-,-,8025,6200,,一般,
1998/10/2,TX,199903,6500,6500,6265,6300,-292,-4.43%,15,6300,197,-,-,8242,6265,,一般,
1998/10/2,TX,199906,6370,6370,6370,6370,-222,-3.37%,1,6297,27,-,-,6993,6262,,一般,
1998/10/3,TX,199810,6398,6555,6398,6550,152,2.38%,2383,6550,2930,-,-,7770,6150,,一般,
1998/10/3,TX,199811,6379,6484,6356,6483,124,1.95%,181,6483,211,-,-,7020,6290,,一般,
1998/10/3,TX,199812,6339,6450,6330,6450,130,2.06%,56,6450,174,-,-,8025,6200,,一般,
1998/10/3,TX,199903,6331,6419,6330,6419,119,1.89%,7,6450,195,-,-,8242,6265,,一般,
1998/10/3,TX,199906,6251,6350,6251,6350,53,0.84%,2,6405,27,-,-,6993,6251,,一般,
1998/10/6,TX,199810,6490,6493,6320,6450,-100,-1.53%,2007,6450,3079,-,-,7770,6150,,一般,
1998/10/6,TX,199811,6360,6420,6350,6380,-103,-1.59%,88,6391,235,-,-,7020,6290,,一般,
1998/10/6,TX,199812,6366,6400,6302,6350,-100,-1.55%,18,6350,176,-,-,8025,6200,,一般,
