Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20180817,BRF    ,201810     ,150000,2195.5,4,-,-,*
20180817,BRF    ,201810     ,150816,2199,2,-,-, 
20180817,BRF    ,201810     ,150833,2198.5,2,-,-, 
20180817,BRF    ,201810     ,152205,2197.5,2,-,-, 
20180817,BRF    ,201810     ,152206,2197,4,-,-, 
20180817,BRF    ,201810     ,154004,2199.5,2,-,-, 
20180817,BRF    ,201810     ,154424,2201.5,2,-,-, 
20180817,BRF    ,201810     ,154552,2203,4,-,-, 
20180817,BRF    ,201810     ,154720,2204,4,-,-, 
20180817,BRF    ,201810     ,155830,2202.5,2,-,-, 
20180817,BRF    ,201810     ,161038,2206.5,2,-,-, 
20180817,BRF    ,201810     ,161113,2206.5,2,-,-, 
20180817,BRF    ,201810     ,175508,2201.5,2,-,-, 
20180817,BRF    ,201810     ,175522,2201.5,2,-,-, 
20180817,BRF    ,201810     ,175724,2204,2,-,-, 
20180817,BRF    ,201810     ,175729,2204,2,-,-, 
20180817,BRF    ,201810     ,175753,2203,2,-,-, 
20180817,BRF    ,201810     ,175818,2203,2,-,-, 
20180817,BRF    ,201810     ,175847,2207,2,-,-, 
20180817,BRF    ,201810     ,175944,2207.5,2,-,-, 
20180817,BRF    ,201810     ,180028,2207.5,2,-,-, 
20180817,BRF    ,201810     ,180038,2207.5,2,-,-, 
20180817,BRF    ,201810     ,180157,2204.5,2,-,-, 
20180817,BRF    ,201810     ,180207,2204.5,2,-,-, 
20180817,BRF    ,201810     ,180354,2205.5,2,-,-, 
20180817,BRF    ,201810     ,182305,2218.5,2,-,-, 
20180817,BRF    ,201810     ,183037,2217,2,-,-, 
20180817,BRF    ,201810     ,183548,2217,2,-,-, 
20180817,BRF    ,201810     ,184247,2218,2,-,-, 
20180817,BRF    ,201810     ,184306,2218.5,2,-,-, 
20180817,BRF    ,201810     ,184525,2222,2,-,-, 
20180817,BRF    ,201810     ,184629,2221.5,2,-,-, 
20180817,BRF    ,201810     ,184641,2222,2,-,-, 
20180817,BRF    ,201810     ,184805,2222.5,2,-,-, 
20180817,BRF    ,201810     ,184904,2222.5,2,-,-, 
20180817,BRF    ,201810     ,192730,2218.5,2,-,-, 
20180817,BRF    ,201810     ,195819,2218,2,-,-, 
20180817,BRF    ,201810     ,201022,2225,2,-,-, 
20180817,BRF    ,201810     ,201036,2225,2,-,-, 
20180817,BRF    ,201810     ,204157,2226,2,-,-, 
20180817,BRF    ,201810     ,214108,2223.5,2,-,-, 
20180817,BRF    ,201810     ,220702,2215,2,-,-, 
20180817,BRF    ,201810     ,221430,2217,6,-,-, 
20180817,BRF    ,201810     ,223019,2211.5,2,-,-, 
20180817,BRF    ,201810     ,225305,2209,2,-,-, 
20180817,BRF    ,201810     ,225842,2211,6,-,-, 
20180817,BRF    ,201810     ,231246,2203.5,2,-,-, 
20180817,BRF    ,201810     ,231915,2206,2,-,-, 
20180818,BRF    ,201810     ,000506,2205.5,2,-,-, 
20180818,BRF    ,201810     ,002613,2204,2,-,-, 
20180818,BRF    ,201810     ,003123,2204.5,2,-,-, 
20180818,BRF    ,201810     ,015043,2201.5,4,-,-, 
20180818,BRF    ,201810     ,023219,2215,2,-,-, 
20180817,BRF    ,201811     ,183743,2222,2,-,-, 
20180817,BRF    ,201811     ,183801,2222,2,-,-, 
20180817,BRF    ,201811     ,184020,2222,2,-,-, 
20180817,BRF    ,201811     ,184115,2222,2,-,-, 
20180817,BRF    ,201811     ,184142,2223,2,-,-, 
20180817,BRF    ,201811     ,184247,2222.5,2,-,-, 
20180817,BRF    ,201811     ,184334,2223.5,2,-,-, 
20180817,BRF    ,201811     ,184438,2223.5,2,-,-, 
20180817,BRF    ,201811     ,184545,2227,2,-,-, 
20180817,BRF    ,201811     ,184603,2227,2,-,-, 
20180817,BRF    ,201811     ,184613,2227,2,-,-, 
20180817,BRF    ,201811     ,184944,2225.5,2,-,-, 
20180817,BRF    ,201811     ,185003,2225.5,2,-,-, 
20180817,BRF    ,201811     ,185003,2225.5,2,-,-, 
20180817,BRF    ,201811     ,220910,2219.5,2,-,-, 
20180818,BRF    ,201811     ,000141,2211.5,2,-,-, 
20180818,BRF    ,201811     ,000422,2210.5,2,-,-, 
20180818,BRF    ,201811     ,011412,2201.5,2,-,-, 
20180817,MTX    ,201808W4     ,150000,10676,6,-,-,*
20180817,MTX    ,201808W4     ,150156,10669,2,-,-, 
20180817,MTX    ,201808W4     ,150318,10670,2,-,-, 
20180817,MTX    ,201808W4     ,150712,10672,2,-,-, 
20180817,MTX    ,201808W4     ,150742,10674,2,-,-, 
20180817,MTX    ,201808W4     ,150744,10674,2,-,-, 
20180817,MTX    ,201808W4     ,151520,10666,2,-,-, 
20180817,MTX    ,201808W4     ,151559,10665,2,-,-, 
20180817,MTX    ,201808W4     ,152351,10669,4,-,-, 
